
Forward Euler Method: 
time:     V1:        V2:     
--------------------------------------
0.0000000000   0.0000000000   0.0000000000   
0.0000000002   0.0000000000   0.1000000000   
0.0000000004   0.0040000000   0.1980000000   
0.0000000006   0.0119200000   0.2940400000   
0.0000000008   0.0236816000   0.3881592000   
0.0000000010   0.0392079680   0.4803960160   
0.0000000012   0.0584238086   0.5707880957   
0.0000000014   0.0772553325   0.6593723338   
0.0000000016   0.0957102258   0.7461848871   
0.0000000018   0.1137960213   0.8312611893   
0.0000000020   0.1315201009   0.9146359656   
0.0000000022   0.1488896989   0.9963432463   
0.0000000024   0.1659119049   1.0764163813   
0.0000000026   0.1825936668   1.1548880537   
0.0000000028   0.1989417934   1.2317902926   
0.0000000030   0.2149629576   1.3071544868   
0.0000000032   0.2306636984   1.3810113970   
0.0000000034   0.2460504245   1.4533911691   
0.0000000036   0.2611294160   1.5243233457   
0.0000000038   0.2759068276   1.5938368788   
0.0000000040   0.2903886911   1.6619601412   
0.0000000042   0.3045809173   1.7287209384   
0.0000000044   0.3184892989   1.7941465196   
0.0000000046   0.3321195130   1.8582635892   
0.0000000048   0.3454771227   1.9210983174   
0.0000000050   0.3585675802   1.9826763510   
0.0000000052   0.3713962286   2.0430228240   
0.0000000054   0.3839683041   2.1021623675   
0.0000000056   0.3962889380   2.1601191200   
0.0000000058   0.4083631592   2.2169167376   
0.0000000060   0.4201958960   2.2725784027   
0.0000000062   0.4317919781   2.3271268345   
0.0000000064   0.4431561386   2.3805842976   
0.0000000066   0.4542930158   2.4329726113   
0.0000000068   0.4652071555   2.4843131587   
0.0000000070   0.4759030124   2.5346268949   
0.0000000072   0.4863849521   2.5839343563   
0.0000000074   0.4966572531   2.6322556682   
0.0000000076   0.5067241080   2.6796105535   
0.0000000078   0.5165896258   2.7260183407   
0.0000000080   0.5262578333   2.7714979717   
0.0000000082   0.5357326767   2.8160680094   
0.0000000084   0.5450180231   2.8597466455   
0.0000000086   0.5541176627   2.9025517078   
0.0000000088   0.5630353094   2.9445006675   
0.0000000090   0.5717746032   2.9856106464   
0.0000000092   0.5803391112   3.0258984237   
0.0000000094   0.5887323289   3.0653804429   
0.0000000096   0.5969576824   3.1040728185   
0.0000000098   0.6050185287   3.1419913429   
0.0000000100   0.6129181581   3.1791514920   
0.0000000102   0.6206597950   3.2155684326   
0.0000000104   0.6242465991   3.2512570275   
0.0000000106   0.6237616671   3.2862318467   
0.0000000108   0.6192864338   3.3205071702   
0.0000000110   0.6109007051   3.3540969916   
0.0000000112   0.5986826910   3.3870150237   
0.0000000114   0.5867090372   3.4192747030   
0.0000000116   0.5749748564   3.4508891943   
0.0000000118   0.5634753593   3.4818713998   
0.0000000120   0.5522058521   3.5122339639   
0.0000000122   0.5411617351   3.5419892788   
0.0000000124   0.5303385004   3.5711494890   
0.0000000126   0.5197317303   3.5997264960   
0.0000000128   0.5093370957   3.6277319636   
0.0000000130   0.4991503538   3.6551773225   
0.0000000132   0.4891673467   3.6820737747   
0.0000000134   0.4793839998   3.7084322981   
0.0000000136   0.4697963198   3.7342636513   
0.0000000138   0.4604003934   3.7595783777   
0.0000000140   0.4511923856   3.7843868096   
0.0000000142   0.4421685378   3.8086990731   
0.0000000144   0.4333251671   3.8325250913   
0.0000000146   0.4246586637   3.8558745892   
0.0000000148   0.4161654905   3.8787570973   
0.0000000150   0.4078421807   3.9011819552   
0.0000000152   0.3996853370   3.9231583159   
0.0000000154   0.3916916303   3.9446951495   
0.0000000156   0.3838577977   3.9658012465   
0.0000000158   0.3761806417   3.9864852215   
0.0000000160   0.3686570289   4.0067555170   
0.0000000162   0.3612838883   4.0266204066   
0.0000000164   0.3540582106   4.0460879984   
0.0000000166   0.3469770464   4.0651662384   
0.0000000168   0.3400375054   4.0838629137   
0.0000000170   0.3332367553   4.1021856554   
0.0000000172   0.3265720202   4.1201419422   
0.0000000174   0.3200405798   4.1377391034   
0.0000000176   0.3136397682   4.1549843213   
0.0000000178   0.3073669728   4.1718846349   
0.0000000180   0.3012196334   4.1884469422   
0.0000000182   0.2951952407   4.2046780033   
0.0000000184   0.2892913359   4.2205844432   
0.0000000186   0.2835055092   4.2361727544   
0.0000000188   0.2778353990   4.2514492993   
0.0000000190   0.2722786910   4.2664203133   
0.0000000192   0.2668331172   4.2810919070   
0.0000000194   0.2614964549   4.2954700689   
0.0000000196   0.2562665258   4.3095606675   
0.0000000198   0.2511411952   4.3233694541   
0.0000000200   0.2461183713   4.3369020651   
0.0000000202   0.2411960039   4.3501640238   
0.0000000204   0.2403720838   4.3631607433   
0.0000000206   0.2435646422   4.3758975284   
0.0000000208   0.2506933493   4.3883795778   
0.0000000210   0.2616794823   4.4006119863   
