
Forward Euler Method: 
time:     V1:        V2:     
--------------------------------------
0.0000000000   0.0000000000   0.0000000000   
0.0000000010   0.0000000000   0.0000000000   
0.0000000020   0.1000000000   0.0000000000   
0.0000000030   0.1800000000   0.0100000000   
0.0000000040   0.2450000000   0.0260000000   
0.0000000050   0.2986000000   0.0453000000   
0.0000000060   0.3434100000   0.0661000000   
0.0000000070   0.3813380000   0.0872210000   
0.0000000080   0.4137925000   0.1079106000   
0.0000000090   0.4418250600   0.1277077300   
0.0000000100   0.4662308210   0.1463486900   
0.0000000110   0.4876195258   0.1637020341   
0.0000000120   0.4064658240   0.1797235799   
0.0000000130   0.3431450172   0.1844254463   
0.0000000140   0.2929585584   0.1818548588   
0.0000000150   0.2525523326   0.1747797428   
0.0000000160   0.2195198404   0.1650790275   
0.0000000170   0.1921237750   0.1540152061   
0.0000000180   0.1691005406   0.1424245424   
0.0000000190   0.1495228868   0.1308496880   
0.0000000200   0.1327032782   0.1196320390   
0.0000000210   0.1181258265   0.1089759590   
0.0000000220   0.2053982571   0.0989933499   
0.0000000230   0.2742179406   0.0997345056   
0.0000000240   0.3293478031   0.1072093986   
0.0000000250   0.3741991823   0.1187022992   
0.0000000260   0.4112295758   0.1323817576   
0.0000000270   0.4422218364   0.1470283636   
0.0000000280   0.4684803055   0.1618448745   
0.0000000290   0.4909687318   0.1763239302   
0.0000000300   0.5104073785   0.1901560173   
0.0000000310   0.5273415045   0.2031655517   
0.0000000320   0.4421897588   0.2152665918   
0.0000000330   0.3752784662   0.2164322493   
0.0000000340   0.3218659979   0.2106736461   
0.0000000350   0.2785601629   0.2007255167   
0.0000000360   0.2429206820   0.1884364296   
0.0000000370   0.2131801886   0.1750412119   
0.0000000380   0.1880482720   0.1613509884   
0.0000000390   0.1665737165   0.1478856179   
0.0000000400   0.1480475350   0.1349658660   
0.0000000410   0.1319346146   0.1227774463   
0.0000000420   0.2178254363   0.1114154185   
0.0000000430   0.2854018909   0.1109148784   
0.0000000440   0.3394130005   0.1172720918   
0.0000000450   0.3832576096   0.1277589735   
0.0000000460   0.4193819850   0.1405329398   
0.0000000470   0.4495588820   0.1543645503   
0.0000000480   0.4750835606   0.1684475285   
0.0000000490   0.4969116014   0.1822663788   
0.0000000500   0.5157559190   0.1955042632   
0.0000000510   0.5321551615   0.2079790025   
0.0000000520   0.4465220294   0.2195987181   
0.0000000530   0.3791774954   0.2203311774   
0.0000000540   0.3253751140   0.2141826915   
0.0000000550   0.2817183604   0.2038836646   
0.0000000560   0.2457630548   0.1912787677   
0.0000000570   0.2157383206   0.1775993196   
0.0000000580   0.1903505884   0.1636532878   
0.0000000590   0.1686457995   0.1499576891   
0.0000000600   0.1499124085   0.1368307312   
0.0000000610   0.1336129999   0.1244558258   
0.0000000620   0.2193359825   0.1129259606   
0.0000000630   0.2867613821   0.1122743668   
0.0000000640   0.3406365423   0.1184956316   
0.0000000650   0.3843587970   0.1288601595   
0.0000000660   0.4203730536   0.1415240073   
0.0000000670   0.4504508436   0.1552565112   
0.0000000680   0.4758863260   0.1692502933   
0.0000000690   0.4976340901   0.1829888673   
0.0000000700   0.5164061588   0.1961545028   
0.0000000710   0.5327403774   0.2085642181   
0.0000000720   0.4470487237   0.2201254123   
0.0000000730   0.3796515202   0.2208052022   
0.0000000740   0.3258017364   0.2146093138   
0.0000000750   0.2821023205   0.2042676246   
0.0000000760   0.2461086188   0.1916243318   
0.0000000770   0.2160493282   0.1779103273   
0.0000000780   0.1906304953   0.1639331947   
0.0000000790   0.1688977157   0.1502096053   
0.0000000800   0.1501391331   0.1370574558   
0.0000000810   0.1338170521   0.1246598779   
0.0000000820   0.2195196294   0.1131096076   
0.0000000830   0.2869266643   0.1124396490   
0.0000000840   0.3407852963   0.1186443856   
0.0000000850   0.3844926756   0.1289940381   
0.0000000860   0.4204935443   0.1416444981   
0.0000000870   0.4505592853   0.1553649529   
0.0000000880   0.4759839235   0.1693478908   
0.0000000890   0.4977219279   0.1830767050   
0.0000000900   0.5164852128   0.1962335568   
0.0000000910   0.5328115259   0.2086353667   
0.0000000920   0.4471127574   0.2201894460   
0.0000000930   0.3797091505   0.2208628325   
0.0000000940   0.3258536037   0.2146611811   
0.0000000950   0.2821490010   0.2043143052   
0.0000000960   0.2461506314   0.1916663443   
0.0000000970   0.2160871395   0.1779481386   
0.0000000980   0.1906645255   0.1639672248   
0.0000000990   0.1689283429   0.1502402324   
0.0000001000   0.1501666975   0.1370850202   

