
RK34 Adaptation Method: 
time:     V1:        V2:     
--------------------------------------
0.0000000000   0.0000000000   0.0000000000   
0.0000000002   0.0019825750   0.0990087125   
0.0000000005   0.0103493309   0.2241858500   
0.0000000008   0.0312422960   0.3851015397   
0.0000000012   0.0682984669   0.5728910734   
0.0000000014   0.0860277624   0.6571342778   
0.0000000021   0.1443317755   0.9341738741   
0.0000000028   0.2067770051   1.2308910347   
0.0000000037   0.2716027811   1.5389196914   
0.0000000046   0.3373104043   1.8511385669   
0.0000000057   0.4026487673   2.1616028515   
0.0000000068   0.4665777003   2.4653700330   
0.0000000080   0.5282423888   2.7583783352   
0.0000000093   0.5869538148   3.0373537639   
0.0000000108   0.6072126760   3.2997332366   
0.0000000113   0.5774420648   3.3930188865   
0.0000000118   0.5541503453   3.4578381048   
0.0000000134   0.4721417993   3.6860621682   
0.0000000151   0.3974216577   3.8940031295   
0.0000000169   0.3300520652   4.0814880261   
0.0000000189   0.2700236658   4.2485428922   
0.0000000211   0.2820493972   4.3955062624   
0.0000000219   0.3348824272   4.4399901526   
0.0000000240   0.4632737416   4.5480919413   
0.0000000263   0.5747809026   4.6419777224   
0.0000000289   0.6701507144   4.7222757654   
0.0000000316   0.6259628043   4.7898342500   
0.0000000328   0.5581594763   4.8125989683   
0.0000000353   0.4340620563   4.8542644240   
0.0000000380   0.3296636681   4.8893159991   
0.0000000410   0.3053058888   4.9182343897   
0.0000000418   0.3594780868   4.9246104662   
0.0000000443   0.4988952984   4.9410198904   
0.0000000469   0.6166533029   4.9548798998   
0.0000000499   0.7143209471   4.9663732480   
0.0000000531   0.6006673758   4.9757187880   
0.0000000540   0.5494496751   4.9777891469   
0.0000000566   0.4235665303   4.9828778014   
0.0000000594   0.3185449220   4.9871231804   
0.0000000625   0.4190681903   4.9905942755   
0.0000000634   0.4675783780   4.9913796906   
0.0000000660   0.5907603746   4.9933740398   
0.0000000689   0.6934491072   4.9950354765   
0.0000000721   0.6162639861   4.9963886756   
0.0000000731   0.5574707467   4.9967331238   
0.0000000757   0.4301245004   4.9974793672   
0.0000000785   0.3238396237   4.9981022210   
0.0000000816   0.3526796318   4.9986117824   
0.0000000860   0.5870220576   4.9991143014   
0.0000000889   0.6920255584   4.9993383605   
0.0000000921   0.6135619739   4.9995152670   
0.0000000931   0.5555681762   4.9995610080   
0.0000000957   0.4285081654   4.9996613801   
0.0000000985   0.3224916327   4.9997451565   

