
RK34 Adaptation Method: 
time:     V1:        V2:     
--------------------------------------
0.0000000000   0.0000000000   0.0000000000   
0.0000000010   0.0458593750   0.0020000000   
0.0000000010   0.0486029257   0.0021302907   
0.0000000011   0.0513303436   0.0022680401   
0.0000000011   0.0540417483   0.0024131547   
0.0000000011   0.0567372583   0.0025655423   
0.0000000012   0.0594169912   0.0027251111   
0.0000000012   0.0620810637   0.0028917705   
0.0000000012   0.0647295913   0.0030654307   
0.0000000012   0.0673626888   0.0032460030   
0.0000000013   0.0699804698   0.0034333992   
0.0000000013   0.0725830471   0.0036275323   
0.0000000013   0.0751705325   0.0038283160   
0.0000000014   0.0777430368   0.0040356649   
0.0000000014   0.0803006701   0.0042494944   
0.0000000014   0.0828435414   0.0044697209   
0.0000000015   0.0853717587   0.0046962614   
0.0000000015   0.0878854294   0.0049290340   
0.0000000015   0.0903846598   0.0051679573   
0.0000000015   0.0928695553   0.0054129508   
0.0000000016   0.0953402205   0.0056639351   
0.0000000016   0.0977967591   0.0059208312   
0.0000000016   0.1002392740   0.0061835612   
0.0000000017   0.1026678672   0.0064520476   
0.0000000017   0.1050826397   0.0067262140   
0.0000000017   0.1074836919   0.0070059848   
0.0000000018   0.1098711234   0.0072912848   
0.0000000018   0.1122450326   0.0075820399   
0.0000000018   0.1146055176   0.0078781766   
0.0000000018   0.1169526752   0.0081796221   
0.0000000019   0.1192866018   0.0084863045   
0.0000000019   0.1216073926   0.0087981523   
0.0000000019   0.1239151425   0.0091150951   
0.0000000020   0.1262099452   0.0094370630   
0.0000000020   0.1284918938   0.0097639868   
0.0000000020   0.1307610806   0.0100957981   
0.0000000021   0.1330175972   0.0104324289   
0.0000000021   0.1352615343   0.0107738124   
0.0000000021   0.1374929821   0.0111198819   
0.0000000021   0.1397120298   0.0114705719   
0.0000000022   0.1419187659   0.0118258171   
0.0000000022   0.1441132784   0.0121855532   
0.0000000022   0.1462956542   0.0125497164   
0.0000000023   0.1484659800   0.0129182436   
0.0000000023   0.1506243412   0.0132910722   
0.0000000023   0.1527708230   0.0136681405   
0.0000000024   0.1549055095   0.0140493871   
0.0000000024   0.1570284845   0.0144347515   
0.0000000024   0.1591398307   0.0148241737   
0.0000000025   0.1612396305   0.0152175943   
0.0000000025   0.1633279654   0.0156149546   
0.0000000025   0.1654049162   0.0160161963   
0.0000000025   0.1674705633   0.0164212618   
0.0000000026   0.1695249862   0.0168300943   
0.0000000026   0.1715682637   0.0172426372   
0.0000000026   0.1736004743   0.0176588347   
0.0000000027   0.1756216954   0.0180786316   
0.0000000027   0.1776320042   0.0185019732   
0.0000000027   0.1796314770   0.0189288052   
0.0000000028   0.1816201895   0.0193590743   
0.0000000028   0.1835982169   0.0197927272   
0.0000000028   0.1855656338   0.0202297116   
0.0000000028   0.1875225139   0.0206699755   
0.0000000029   0.1894689307   0.0211134674   
0.0000000029   0.1914049568   0.0215601365   
0.0000000029   0.1933306645   0.0220099325   
0.0000000030   0.1952461251   0.0224628055   
0.0000000030   0.1971514098   0.0229187061   
0.0000000030   0.1990465889   0.0233775856   
0.0000000031   0.2009317321   0.0238393957   
0.0000000031   0.2028069088   0.0243040885   
0.0000000031   0.2046721876   0.0247716167   
0.0000000031   0.2065276367   0.0252419336   
0.0000000032   0.2083733237   0.0257149928   
0.0000000032   0.2102093155   0.0261907484   
0.0000000032   0.2120356787   0.0266691551   
0.0000000033   0.2138524793   0.0271501680   
0.0000000033   0.2156597826   0.0276337427   
0.0000000033   0.2174576537   0.0281198351   
0.0000000034   0.2192461567   0.0286084018   
0.0000000034   0.2210253557   0.0290993997   
0.0000000034   0.2227953139   0.0295927863   
0.0000000034   0.2245560942   0.0300885193   
0.0000000035   0.2263077588   0.0305865571   
0.0000000035   0.2280503698   0.0310868585   
0.0000000035   0.2297839883   0.0315893824   
0.0000000036   0.2315086752   0.0320940887   
0.0000000036   0.2332244908   0.0326009372   
0.0000000036   0.2349314951   0.0331098884   
0.0000000037   0.2366297474   0.0336209032   
0.0000000037   0.2383193066   0.0341339428   
0.0000000037   0.2400002312   0.0346489690   
0.0000000038   0.2416725792   0.0351659439   
0.0000000038   0.2433364080   0.0356848298   
0.0000000038   0.2449917747   0.0362055898   
0.0000000038   0.2466387359   0.0367281870   
0.0000000039   0.2482773477   0.0372525853   
0.0000000039   0.2499076659   0.0377787485   
0.0000000039   0.2515297458   0.0383066413   
0.0000000040   0.2531436420   0.0388362284   
0.0000000040   0.2547494090   0.0393674751   
0.0000000040   0.2563471008   0.0399003468   
0.0000000041   0.2579367709   0.0404348096   
0.0000000041   0.2595184724   0.0409708298   
0.0000000041   0.2610922578   0.0415083740   
0.0000000041   0.2626581796   0.0420474093   
