
RK34 Method: 
time:     V1:        V2:     
--------------------------------------
0.0000000000   0.0000000000   0.0000000000   
0.0000000010   0.0458593750   0.0020000000   
0.0000000020   0.1288957911   0.0096207608   
0.0000000030   0.1977923975   0.0227494933   
0.0000000040   0.2555195148   0.0392377492   
0.0000000050   0.3043415490   0.0575647409   
0.0000000060   0.3459944332   0.0766673511   
0.0000000070   0.3818174560   0.0958150453   
0.0000000080   0.4128513031   0.1145179298   
0.0000000090   0.4399110604   0.1324592679   
0.0000000100   0.4636406540   0.1494460326   
0.0000000110   0.4386941446   0.1633727554   
0.0000000120   0.3741672593   0.1705744052   
0.0000000130   0.3217130527   0.1711615450   
0.0000000140   0.2786374229   0.1673085820   
0.0000000150   0.2429051974   0.1605804767   
0.0000000160   0.2129725541   0.1520956099   
0.0000000170   0.1876627121   0.1426458289   
0.0000000180   0.1660736561   0.1327848668   
0.0000000190   0.1475095822   0.1228934067   
0.0000000200   0.1314299148   0.1132269069   
0.0000000210   0.1632707213   0.1059507055   
0.0000000220   0.2340153201   0.1047865035   
0.0000000230   0.2920803264   0.1096768616   
0.0000000240   0.3402215106   0.1184968060   
0.0000000250   0.3805288308   0.1297271138   
0.0000000260   0.4145949305   0.1422915352   
0.0000000270   0.4436402104   0.1554368951   
0.0000000280   0.4686057434   0.1686448596   
0.0000000290   0.4902223700   0.1815670767   
0.0000000300   0.5090621426   0.1939775643   
0.0000000310   0.4797173082   0.2037378196   
0.0000000320   0.4112300449   0.2071505437   
0.0000000330   0.3552067154   0.2042953451   
0.0000000340   0.3089122730   0.1973173233   
0.0000000350   0.2702754605   0.1877539594   
0.0000000360   0.2377205181   0.1766980600   
0.0000000370   0.2100422943   0.1649178074   
0.0000000380   0.1863134933   0.1529451339   
0.0000000390   0.1658157252   0.1411407098   
0.0000000400   0.1479881922   0.1297416737   
0.0000000410   0.1782488214   0.1208966306   
0.0000000420   0.2475646350   0.1183120258   
0.0000000430   0.3043375894   0.1219165307   
0.0000000440   0.3513102555   0.1295725406   
0.0000000450   0.3905606959   0.1397493581   
0.0000000460   0.4236708257   0.1513603162   
0.0000000470   0.4518513647   0.1636427886   
0.0000000480   0.4760346455   0.1760698715   
0.0000000490   0.4969436147   0.1882854446   
0.0000000500   0.5151431924   0.2000564869   
0.0000000510   0.4852191808   0.2092381190   
0.0000000520   0.4162079317   0.2121272673   
0.0000000530   0.3597105413   0.2087983109   
0.0000000540   0.3129872003   0.2013916145   
0.0000000550   0.2739623448   0.1914403734   
0.0000000560   0.2410563203   0.1800335144   
0.0000000570   0.2130604524   0.1679357084   
0.0000000580   0.1890442591   0.1556757095   
0.0000000590   0.1682864680   0.1436113119   
0.0000000600   0.1502236738   0.1319770514   
0.0000000610   0.1802714452   0.1229191775   
0.0000000620   0.2493946702   0.1201420042   
0.0000000630   0.3059933748   0.1235722740   
0.0000000640   0.3528083834   0.1310706374   
0.0000000650   0.3919161783   0.1411048176   
0.0000000660   0.4248972453   0.1525867187   
0.0000000670   0.4529610105   0.1647524218   
0.0000000680   0.4770386364   0.1770738531   
0.0000000690   0.4978520107   0.1891938338   
0.0000000700   0.5159650958   0.2008783852   
0.0000000710   0.4859628270   0.2099817615   
0.0000000720   0.4168807721   0.2128001049   
0.0000000730   0.3603193175   0.2094070850   
0.0000000740   0.3135380123   0.2019424250   
0.0000000750   0.2744607116   0.1919387391   
0.0000000760   0.2415072355   0.1804844288   
0.0000000770   0.2134684341   0.1683436895   
0.0000000780   0.1894133951   0.1560448451   
0.0000000790   0.1686204571   0.1439453006   
0.0000000800   0.1505258624   0.1322792397   
0.0000000810   0.1805448611   0.1231925933   
0.0000000820   0.2496420531   0.1203893869   
0.0000000830   0.3062172033   0.1237961025   
0.0000000840   0.3530109003   0.1312731543   
0.0000000850   0.3920994128   0.1412880520   
0.0000000860   0.4250630333   0.1527525066   
0.0000000870   0.4531110131   0.1649024244   
0.0000000880   0.4771743566   0.1772095733   
0.0000000890   0.4979748085   0.1893166315   
0.0000000900   0.5160762015   0.2009894909   
0.0000000910   0.4860633539   0.2100822884   
0.0000000920   0.4169717274   0.2128910602   
0.0000000930   0.3604016126   0.2094893801   
0.0000000940   0.3136124717   0.2020168844   
0.0000000950   0.2745280815   0.1920061089   
0.0000000960   0.2415681908   0.1805453840   
0.0000000970   0.2135235856   0.1683988409   
0.0000000980   0.1894632954   0.1560947453   
0.0000000990   0.1686656061   0.1439904497   
0.0000001000   0.1505667127   0.1323200899   

