
RK34 Adaptation Method: 
time:     V1:        V2:     
--------------------------------------
0.0000000000   0.0000000000   0.0000000000   
0.0000000010   0.0478593750   0.4760703125   
0.0000000014   0.0896355330   0.6745624224   
0.0000000021   0.1482470076   0.9530445948   
0.0000000029   0.2109029553   1.2507433744   
0.0000000037   0.2758332076   1.5592481143   
0.0000000047   0.3415566188   1.8715214103   
0.0000000057   0.4068367354   2.1816884692   
0.0000000069   0.4706461180   2.4848675911   
0.0000000081   0.5321412705   2.7770510449   
0.0000000094   0.5906433644   3.0550134623   
0.0000000109   0.6015295447   3.3162357677   
0.0000000115   0.5683828339   3.4149633639   
0.0000000120   0.5393477469   3.4959328528   
0.0000000136   0.4586742044   3.7209053647   
0.0000000154   0.3852799128   3.9255784049   
0.0000000172   0.3192281868   4.1097753960   
0.0000000193   0.2604911724   4.2735740126   
0.0000000215   0.3142080754   4.4173603193   
0.0000000224   0.3764686183   4.4702560468   
0.0000000246   0.4993093896   4.5746199248   
0.0000000270   0.6056118320   4.6649329710   
0.0000000296   0.6961244370   4.7418300170   
0.0000000324   0.5981820213   4.8061924239   
0.0000000332   0.5517276250   4.8212433388   
0.0000000358   0.4284353555   4.8611893200   
0.0000000385   0.3248438899   4.8947523796   
0.0000000415   0.3491251108   4.9224063976   
0.0000000435   0.4677010073   4.9365423398   
0.0000000462   0.5903435990   4.9511630325   
0.0000000490   0.6926436903   4.9633575234   
0.0000000522   0.6105049833   4.9733248694   
0.0000000531   0.5541122062   4.9757888008   
0.0000000557   0.4274982503   4.9813210044   
0.0000000585   0.3218024959   4.9859392458   
0.0000000617   0.3600789371   4.9897178460   
0.0000000632   0.4532286596   4.9912145604   
0.0000000658   0.5787557772   4.9932314683   
0.0000000687   0.6835500729   4.9949144084   
0.0000000718   0.6243913940   4.9962877235   
0.0000000729   0.5596128976   4.9966727541   
0.0000000755   0.4319232813   4.9974319186   
0.0000000783   0.3253247473   4.9980657192   
0.0000000814   0.3338020727   4.9985843896   
0.0000000826   0.4071717010   4.9987402931   
0.0000000851   0.5400595905   4.9990226538   
0.0000000879   0.6515609046   4.9992592363   
0.0000000909   0.6975946372   4.9994501994   
0.0000000917   0.6463160128   4.9994919233   
0.0000000924   0.5995514864   4.9995285310   
0.0000000950   0.4654183105   4.9996339263   
0.0000000977   0.3530266739   4.9997223251   

