
RK34 Adaptation Method: 
time:     V1:        V2:     
--------------------------------------
0.0000000000   0.0000000000   0.0000000000   
0.0000000002   0.0019653750   0.0000172000   
0.0000000003   0.0032189427   0.0000314511   
0.0000000003   0.0050947497   0.0000584899   
0.0000000004   0.0078248027   0.0001075731   
0.0000000005   0.0117057309   0.0001933733   
0.0000000006   0.0171101415   0.0003384864   
0.0000000007   0.0245007010   0.0005768754   
0.0000000009   0.0344463538   0.0009585215   
0.0000000010   0.0476242271   0.0015556280   
0.0000000011   0.0562658947   0.0020212344   
0.0000000014   0.0798231957   0.0037164807   
0.0000000017   0.1055162598   0.0063096254   
0.0000000020   0.1328340494   0.0099647952   
0.0000000024   0.1613432727   0.0148238095   
0.0000000029   0.1906823992   0.0210056209   
0.0000000034   0.2205479229   0.0286053380   
0.0000000039   0.2506849216   0.0376934934   
0.0000000045   0.2808798355   0.0483153003   
0.0000000051   0.3109542429   0.0604895946   
0.0000000059   0.3407587331   0.0742070378   
0.0000000067   0.3701659915   0.0894269257   
0.0000000075   0.3990619838   0.1060715635   
0.0000000085   0.4273337072   0.1240166008   
0.0000000096   0.4548516660   0.1430752222   
0.0000000108   0.4432612441   0.1612717181   
0.0000000112   0.4205987217   0.1649269103   
0.0000000114   0.4093722034   0.1663412731   
0.0000000119   0.3745161196   0.1695057395   
0.0000000125   0.3425477257   0.1705744002   
0.0000000131   0.3131802854   0.1698078567   
0.0000000137   0.2861636401   0.1674417478   
0.0000000144   0.2612743014   0.1636909537   
0.0000000151   0.2383125456   0.1587525128   
0.0000000158   0.2171000918   0.1528081261   
0.0000000165   0.1974783138   0.1460263641   
0.0000000173   0.1793069714   0.1385646942   
0.0000000181   0.1624634553   0.1305714543   
0.0000000190   0.1468425369   0.1221878906   
0.0000000199   0.1323565732   0.1135503295   
0.0000000208   0.1515917705   0.1060641622   
0.0000000211   0.1761097495   0.1044691833   
0.0000000213   0.1854801988   0.1041187040   
0.0000000217   0.2162477866   0.1038147464   
0.0000000222   0.2467711588   0.1049059291   
0.0000000227   0.2769348382   0.1074752606   
0.0000000233   0.3066051578   0.1115850370   
0.0000000239   0.3356652307   0.1172735856   
0.0000000246   0.3640188952   0.1245541756   
0.0000000253   0.3915913362   0.1334143589   
0.0000000261   0.4183273500   0.1438150120   
0.0000000270   0.4441873799   0.1556882472   
0.0000000280   0.4691406474   0.1689329236   
0.0000000291   0.4931536757   0.1834055963   
0.0000000304   0.5063151311   0.1987237196   
0.0000000307   0.4962971476   0.2016057019   
0.0000000311   0.4721456794   0.2045651670   
0.0000000313   0.4580018000   0.2056350095   
0.0000000318   0.4189192464   0.2071214011   
0.0000000325   0.3830189716   0.2063555499   
0.0000000331   0.3499961348   0.2036256477   
0.0000000337   0.3195769298   0.1991944886   
0.0000000344   0.2915166553   0.1933029407   
0.0000000351   0.2655968473   0.1861730224   
0.0000000358   0.2416230582   0.1780106054   
0.0000000366   0.2194232666   0.1690078882   
0.0000000374   0.1988469108   0.1593457928   
0.0000000383   0.1797645381   0.1491964287   
0.0000000392   0.1620680151   0.1387257175   
0.0000000401   0.1470450373   0.1280961041   
0.0000000403   0.1484819393   0.1256685258   
0.0000000406   0.1562508959   0.1231381250   
0.0000000409   0.1707969745   0.1209561065   
0.0000000412   0.1911525530   0.1192904333   
0.0000000413   0.2004444206   0.1187510129   
0.0000000417   0.2314610881   0.1178252069   
0.0000000422   0.2620457186   0.1183501353   
0.0000000428   0.2921066041   0.1203964533   
0.0000000433   0.3215320835   0.1240159307   
0.0000000440   0.3502250683   0.1292373673   
0.0000000447   0.3781072398   0.1360653014   
0.0000000454   0.4051199689   0.1444792466   
0.0000000463   0.4312228413   0.1544326951   
0.0000000472   0.4563898773   0.1658510123   
0.0000000482   0.4806027204   0.1786268838   
0.0000000494   0.5038389522   0.1926109926   
0.0000000507   0.5014004955   0.2068173373   
0.0000000510   0.4834503789   0.2091276544   
0.0000000514   0.4556551687   0.2110291925   
0.0000000517   0.4329031976   0.2117489238   
0.0000000523   0.3958464771   0.2112212075   
0.0000000529   0.3617455152   0.2086520964   
0.0000000536   0.3303383636   0.2043128098   
0.0000000542   0.3013715229   0.1984521348   
0.0000000549   0.2746185584   0.1912992312   
0.0000000557   0.2498778280   0.1830664361   
0.0000000564   0.2269707812   0.1739518133   
0.0000000572   0.2057408957   0.1641416050   
0.0000000581   0.1860532459   0.1538127371   
0.0000000590   0.1677946569   0.1431354826   
0.0000000599   0.1508742516   0.1322762376   
0.0000000609   0.1743177244   0.1230280750   
0.0000000613   0.2016119696   0.1209041870   
0.0000000614   0.2135599367   0.1203346101   
0.0000000619   0.2444572755   0.1198208674   
0.0000000624   0.2748652817   0.1207919444   
