
RK34 Method: 
time:     V1:        V2:     
--------------------------------------
0.0000000000   0.0000000000   0.0000000000   
0.0000000010   0.0478593750   0.4760703125   
0.0000000020   0.1385165520   0.9068120365   
0.0000000030   0.2205418908   1.2965410911   
0.0000000040   0.2947572640   1.6491624591   
0.0000000050   0.3619062899   1.9682093141   
0.0000000060   0.4226617843   2.2568784215   
0.0000000070   0.4776325013   2.5180621689   
0.0000000080   0.5273692329   2.7543775446   
0.0000000090   0.5723703283   2.9681923531   
0.0000000100   0.6130866866   3.1616489250   
0.0000000110   0.6020669000   3.3366856572   
0.0000000120   0.5447416646   3.4950565165   
0.0000000130   0.4928745977   3.6383482868   
0.0000000140   0.4459460049   3.7679966748   
0.0000000150   0.4034856741   3.8853007154   
0.0000000160   0.3650681639   3.9914357625   
0.0000000170   0.3303085410   4.0874652607   
0.0000000180   0.2988585229   4.1743514004   
0.0000000190   0.2704029888   4.2529647577   
0.0000000200   0.2446568217   4.3240930179   
0.0000000210   0.2692214268   4.3884488676   
0.0000000220   0.3388018236   4.4466771353   
0.0000000230   0.4017571881   4.4993612528   
0.0000000240   0.4587183165   4.5470291006   
0.0000000250   0.5102559446   4.5901582951   
0.0000000260   0.5568864657   4.6291809704   
0.0000000270   0.5990771054   4.6644880970   
0.0000000280   0.6372506030   4.6964333748   
0.0000000290   0.6717894467   4.7253367318   
0.0000000300   0.7030397069   4.7514874513   
0.0000000310   0.6834551278   4.7751479135   
0.0000000320   0.6183805885   4.7965565225   
0.0000000330   0.5595020605   4.8159271161   
0.0000000340   0.5062295964   4.8334534245   
0.0000000350   0.4580294199   4.8493109959   
0.0000000360   0.4144185781   4.8636587069   
0.0000000370   0.3749601017   4.8766403149   
0.0000000380   0.3392586272   4.8883858915   
0.0000000390   0.3069564350   4.8990131241   
0.0000000400   0.2777298658   4.9086284948   
0.0000000410   0.2991454520   4.9173283470   
0.0000000420   0.3658766608   4.9251998508   
0.0000000430   0.4262541200   4.9323218764   
0.0000000440   0.4808827961   4.9387657833   
0.0000000450   0.5303100540   4.9445961331   
0.0000000460   0.5750311419   4.9498713298   
0.0000000470   0.6154941533   4.9546441897   
0.0000000480   0.6521045170   4.9589624381   
0.0000000490   0.6852290593   4.9628691298   
0.0000000500   0.7151996793   4.9664029874   
0.0000000510   0.6944572998   4.9695999478   
0.0000000520   0.6283351991   4.9724938321   
0.0000000530   0.5685088522   4.9751126941   
0.0000000540   0.5143788148   4.9774822921   
0.0000000550   0.4654027182   4.9796262888   
0.0000000560   0.4210898347   4.9815661510   
0.0000000570   0.3809961608   4.9833213121   
0.0000000580   0.3447199686   4.9849093576   
0.0000000590   0.3118977799   4.9863461989   
0.0000000600   0.2822007252   4.9876462327   
0.0000000610   0.3031906227   4.9888224851   
0.0000000620   0.3695366743   4.9898867416   
0.0000000630   0.4295656488   4.9908496655   
0.0000000640   0.4838790208   4.9917209036   
0.0000000650   0.5330209960   4.9925091805   
0.0000000660   0.5774839640   4.9932223792   
0.0000000670   0.6177134323   4.9938676035   
0.0000000680   0.6541124894   4.9944512162   
0.0000000690   0.6870458445   4.9949788428   
0.0000000700   0.7168434810   4.9954553330   
0.0000000710   0.6959445885   4.9958860179   
0.0000000720   0.6296808770   4.9962770740   
0.0000000730   0.5697264026   4.9966314328   
0.0000000740   0.5154804373   4.9969521435   
0.0000000750   0.4663994507   4.9972423364   
0.0000000760   0.4219916643   4.9975049031   
0.0000000770   0.3818121236   4.9977424709   
0.0000000780   0.3454582402   4.9979574192   
0.0000000790   0.3125657577   4.9981519016   
0.0000000800   0.2828051021   4.9983278665   
0.0000000810   0.3037374544   4.9984870771   
0.0000000820   0.3700314400   4.9986311285   
0.0000000830   0.4300133058   4.9987614638   
0.0000000840   0.4842840545   4.9988793875   
0.0000000850   0.5333874648   4.9989860760   
0.0000000860   0.5778155399   4.9990825828   
0.0000000870   0.6180134375   4.9991698325   
0.0000000880   0.6543839299   4.9992485963   
0.0000000890   0.6872914400   4.9993194401   
0.0000000900   0.7170656924   4.9993826344   
0.0000000910   0.6961456422   4.9994393735   
0.0000000920   0.6298627875   4.9994920967   
0.0000000930   0.5698909927   4.9995403397   
0.0000000940   0.5156293561   4.9995840814   
0.0000000950   0.4665341904   4.9996236768   
0.0000000960   0.4221135748   4.9996595064   
0.0000000970   0.3819224265   4.9996919256   
0.0000000980   0.3455580407   4.9997212585   
0.0000000990   0.3126560558   4.9997477985   
0.0000001000   0.2828868026   4.9997718116   

